VSOP87 VERSION D4    EARTH     VARIABLE 2 (LBR)       *T**3     11 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4323    1  0  2 -2  0  0  0  0  0  0  0  0  0  0.00000000006    -0.00000000009     0.00000000011 0.23877262399    7860.41939243920 
 4323    2  0  3 -4  0  0  0  0  0  0  0  0  0  0.00000000009     0.00000000002     0.00000000009 1.16069982609    5507.55323866740 
 4323    3  0  0  2 -2  0  0  0  0  0  0  0  0  0.00000000007    -0.00000000003     0.00000000008 1.65357552925    5884.92684658320 
 4323    4  0  3 -6  0  0  0  0  0  0  0  0  0  0.00000000008    -0.00000000002     0.00000000008 2.86720038197    7058.59846131540 
 4323    5  0  0  3 -4  0  0  0  0  0  0  0  0  0.00000000004    -0.00000000006     0.00000000007 3.04818741666    5486.77784317500 
 4323    6  0  0  0  0  1  0  0  0  0  0  0  0 -0.00000000007    -0.00000000003     0.00000000007 2.59437103785     529.69096509460 
 4323    7  0  8-14  0  0  0  0  0  0  0  0  0 -0.00000000008     0.00000000001     0.00000000008 4.02863090524    6256.77753019160 
 4323    8  0  0  1  0 -1  0  0  0  0  0  0  0 -0.00000000007     0.00000000002     0.00000000008 2.42003508927    5753.38488489680 
 4323    9  0  0  1  0  2 -5  0  0  0  0  0  0 -0.00000000005    -0.00000000004     0.00000000006 0.84181087594    6275.96230299060 
 4323   10  0  2 -3  0  0  0  0  0  0  0  0  0  0.00000000005    -0.00000000002     0.00000000006 5.40160929468    1577.34354244780 
 4323   11  0  8-12  0  0  0  0  0  0  0  0  0  0.00000000007     0.00000000000     0.00000000007 2.73399865247    6309.37416979120 
