 VSOP87 VERSION D4    EARTH     VARIABLE 1 (LBR)       *T**1    341 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4311    1  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000  6283.31966747491  6283.31966747491 0.00000000000       0.00000000000 
 4311    2  0  0  1  0  0  0  0  0  0  0  0  0 -0.00164533627     0.00124052169     0.00206058863 2.67823455584    6283.07584999140 
 4311    3  0  0  2  0  0  0  0  0  0  0  0  0  0.00003294265     0.00002768993     0.00004303430 2.63512650414   12566.15169998280 
 4311    4  0  0  4 -8  3  0  0  0  0  0  0  0 -0.00000424832     0.00000019169     0.00000425264 1.59046980729       3.52311834900 
 4311    5  0  2 -3  0  0  0  0  0  0  0  0  0 -0.00000103997    -0.00000032569     0.00000108977 2.96618001993    1577.34354244780 
 4311    6  0  0  3  0  0  0  0  0  0  0  0  0  0.00000042610    -0.00000083201     0.00000093478 2.59212835365   18849.22754997420 
 4311    7  0  8-13  0  0  0  0  0  0  0  0  0  0.00000004760    -0.00000119166     0.00000119261 5.79557487799      26.29831979980 
 4311    8  0  0  0  0  1  0  0  0  0  0  0  0 -0.00000037013     0.00000061899     0.00000072122 1.13846158196     529.69096509460 
 4311    9  0  0  1 -2  0  0  0  0  0  0  0  0 -0.00000040797    -0.00000054112     0.00000067768 1.87472304791     398.14900340820 
 4311   10  0  3 -4  0  0  0  0  0  0  0  0  0 -0.00000063828    -0.00000021423     0.00000067327 4.40918235168    5507.55323866740 
 4311   11  0  0  1  0 -2  0  0  0  0  0  0  0 -0.00000042671    -0.00000040785     0.00000059027 2.88797038460    5223.69391980220 
 4311   12  0  0  8-15  0  0  0  0  0  0  0  0  0.00000025963     0.00000049590     0.00000055976 2.17471680261     155.42039943420 
 4311   13  0  0  2 -4  0  0  0  0  0  0  0  0 -0.00000040095    -0.00000021313     0.00000045407 0.39803079805     796.29800681640 
 4311   14  0  3 -5  0  0  0  0  0  0  0  0  0  0.00000034245     0.00000012247     0.00000036369 0.46624739835     775.52261132400 
 4311   15  0  0  0  0  2 -5  0  0  0  0  0  0 -0.00000014487     0.00000025074     0.00000028958 2.64707383882       7.11354700080 
 4311   16  0  0  3 -4  0  0  0  0  0  0  0  0 -0.00000010647    -0.00000015854     0.00000019097 1.84628332577    5486.77784317500 
 4311   17  0  0 10-19  0  3  0  0  0  0  0  0  0.00000019856    -0.00000006340     0.00000020844 5.34138275149       0.98032106820 
 4311   18  0  0  0  0  0  1  0  0  0  0  0  0  0.00000015086    -0.00000010721     0.00000018508 4.96855124577     213.29909543800 
 4311   19  0  0  2 -3  0  0  0  0  0  0  0  0 -0.00000008792    -0.00000013646     0.00000016233 0.03216483047    2544.31441988340 
 4311   20  0  0  1  0  2 -5  0  0  0  0  0  0  0.00000016501    -0.00000005171     0.00000017293 2.99116864949    6275.96230299060 
 4311   21  0  0  3 -5  0  0  0  0  0  0  0  0 -0.00000014014    -0.00000007366     0.00000015832 1.43049285325    2146.16541647520 
 4311   22  0  0  2  0 -3  0  0  0  0  0  0  0  0.00000007045     0.00000012805     0.00000014615 1.20532366323   10977.07880469900 
 4311   23  0  0  4 -6  0  0  0  0  0  0  0  0 -0.00000010544    -0.00000005467     0.00000011877 3.25804815607    5088.62883976680 
 4311   24  0  0  1  0 -3  0  0  0  0  0  0  0 -0.00000009820    -0.00000006012     0.00000011514 2.07502418155    4694.00295470760 
 4311   25  0  0  5 -9  0  0  0  0  0  0  0  0 -0.00000008372     0.00000004940     0.00000009721 4.23925472239    1349.86740965880 
 4311   26  0  0  3 -8  3  0  0  0  0  0  0  0  0.00000004114    -0.00000009081     0.00000009969 1.30262991097    6286.59896834040 
 4311   27  0  0  9-17  0  0  0  0  0  0  0  0  0.00000007883     0.00000005215     0.00000009452 2.69957062864     242.72860397400 
 4311   28  0  0  4 -7  0  0  0  0  0  0  0  0 -0.00000012457     0.00000000313     0.00000012461 2.83432285512    1748.01641306700 
