VSOP87 VERSION D4    EARTH     VARIABLE 1 (LBR)       *T**2    142 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4312    1  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000     0.00052918870     0.00052918870 0.00000000000       0.00000000000 
 4312    2  0  0  1  0  0  0  0  0  0  0  0  0  0.00005492282     0.00006772768     0.00008719837 1.07209665242    6283.07584999140 
 4312    3  0  0  2  0  0  0  0  0  0  0  0  0  0.00000148728    -0.00000270995     0.00000309125 0.86728818832   12566.15169998280 
 4312    4  0  0  4 -8  3  0  0  0  0  0  0  0 -0.00000002141    -0.00000027255     0.00000027339 0.05297871691       3.52311834900 
 4312    5  0  8-13  0  0  0  0  0  0  0  0  0 -0.00000008778    -0.00000013775     0.00000016334 5.18826691036      26.29831979980 
 4312    6  0  0  8-15  0  0  0  0  0  0  0  0 -0.00000013484     0.00000008143     0.00000015752 3.68457889430     155.42039943420 
 4312    7  0  0  3  0  0  0  0  0  0  0  0  0 -0.00000009332    -0.00000001983     0.00000009541 0.75742297675   18849.22754997420 
 4312    8  0  0  0  0  0  0  0  0  1  0  0  0  0.00000000002    -0.00000008937     0.00000008937 2.05705419118   77713.77146812050 
 4312    9  0  3 -5  0  0  0  0  0  0  0  0  0  0.00000006951    -0.00000000118     0.00000006952 0.82673305410     775.52261132400 
 4312   10  0  2 -3  0  0  0  0  0  0  0  0  0  0.00000002108    -0.00000004604     0.00000005064 4.66284525271    1577.34354244780 
 4312   11  0  0  0  0  2 -5  0  0  0  0  0  0 -0.00000003420    -0.00000002190     0.00000004061 1.03057162962       7.11354700080 
 4312   12  0  0  2 -4  0  0  0  0  0  0  0  0  0.00000001532    -0.00000003106     0.00000003463 5.14074632811     796.29800681640 
 4312   13  0  3 -4  0  0  0  0  0  0  0  0  0  0.00000001225    -0.00000002923     0.00000003169 6.05291851171    5507.55323866740 
 4312   14  0  0  9-17  0  0  0  0  0  0  0  0 -0.00000001503     0.00000002620     0.00000003020 1.19246506441     242.72860397400 
