 VSOP87 VERSION D4    EARTH     VARIABLE 1 (LBR)       *T**3     22 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4313    1  0  0  1  0  0  0  0  0  0  0  0  0  0.00000235055    -0.00000168525     0.00000289226 5.84384198723    6283.07584999140 
 4313    2  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000     0.00000034955     0.00000034955 0.00000000000       0.00000000000 
 4313    3  0  0  2  0  0  0  0  0  0  0  0  0 -0.00000015425    -0.00000006703     0.00000016819 5.48766912348   12566.15169998280 
 4313    4  0  0  8-15  0  0  0  0  0  0  0  0 -0.00000001679    -0.00000002440     0.00000002962 5.19577265202     155.42039943420 
 4313    5  0  0  4 -8  3  0  0  0  0  0  0  0  0.00000001287    -0.00000000045     0.00000001288 4.72200252235       3.52311834900 
 4313    6  0  0  9-17  0  0  0  0  0  0  0  0 -0.00000000570    -0.00000000280     0.00000000635 5.96925937141     242.72860397400 
 4313    7  0  0  3  0  0  0  0  0  0  0  0  0 -0.00000000029     0.00000000713     0.00000000714 5.30045809128   18849.22754997420 
 4313    8  0  0  7-13  0  0  0  0  0  0  0  0 -0.00000000040    -0.00000000400     0.00000000402 3.78682982419     553.56940284240 
 4313    9  0  0  3 -8  3  0  0  0  0  0  0  0 -0.00000000039     0.00000000061     0.00000000072 4.29768126180    6286.59896834040 
 4313   10  0  0  7-15  0  0  0  0  0  0  0  0  0.00000000065    -0.00000000016     0.00000000067 0.90721687647    6127.65545055720 
 4313   11  0  0  9-15  0  0  0  0  0  0  0  0 -0.00000000026     0.00000000024     0.00000000036 5.24029648014    6438.49624942560 
 4313   12  0  0  4  0  0  0  0  0  0  0  0  0  0.00000000023    -0.00000000007     0.00000000024 5.16003960716   25132.30339996560 
 4313   13  0  8-12  0  0  0  0  0  0  0  0  0  0.00000000022     0.00000000005     0.00000000023 3.01921570335    6309.37416979120 
 4313   14  0  0  8-17  0  0  0  0  0  0  0  0  0.00000000012    -0.00000000012     0.00000000017 5.82863573502    6525.80445396540 
 4313   15  0  0  1  0  0  0  0  0 -1  0  0  0  0.00000000004     0.00000000016     0.00000000017 3.67772863930   71430.69561812909 
 4313   16  0  2 -3  0  0  0  0  0  0  0  0  0  0.00000000003    -0.00000000009     0.00000000009 4.58467294499    1577.34354244780 
 4313   17  0  0  1  0  0  0  0  0 -1  0  1  0 -0.00000000005    -0.00000000006     0.00000000008 1.40626662824   11856.21865142450 
 4313   18  0  8-14  0  0  0  0  0  0  0  0  0 -0.00000000003     0.00000000007     0.00000000008 5.07561257196    6256.77753019160 
 4313   19  0  0  1  0  0  0  0  0  1  0  0  0 -0.00000000005    -0.00000000004     0.00000000007 2.82473374405   83996.84731811189 
 4313   20  0  0  2  0 -3  0  0  0  0  0  0  0 -0.00000000005     0.00000000003     0.00000000005 2.71488713339   10977.07880469900 
 4313   21  0  0  2  0 -1  0  0  0  0  0  0  0 -0.00000000004     0.00000000003     0.00000000005 3.76879847273   12036.46073488820 
 4313   22  0  0  1  0  2 -5  0  0  0  0  0  0  0.00000000003     0.00000000004     0.00000000005 4.28412873331    6275.96230299060 
