VSOP87 VERSION D4    EARTH     VARIABLE 3 (LBR)       *T**0    526 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4330    1  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000     1.00013988799     1.00013988799 0.00000000000       0.00000000000 
 4330    2  0  0  1  0  0  0  0  0  0  0  0  0 -0.01628288207     0.00374051805     0.01670699626 3.09846350771    6283.07584999140 
 4330    3  0  0  2  0  0  0  0  0  0  0  0  0  0.00006091679     0.00012556355     0.00013956023 3.05524609620   12566.15169998280 
 4330    4  0  0  0  0  0  0  0  0  1  0  0  0  0.00000000000     0.00003083720     0.00003083720 5.19846674381   77713.77146812050 
 4330    5  0  0  1  0 -1  0  0  0  0  0  0  0 -0.00000032491     0.00001628137     0.00001628461 1.17387749012    5753.38488489680 
 4330    6  0  2 -2  0  0  0  0  0  0  0  0  0 -0.00000002363     0.00001575566     0.00001575568 2.84685245825    7860.41939243920 
 4330    7  0  0  2  0 -2  0  0  0  0  0  0  0  0.00000003220    -0.00000924793     0.00000924799 5.45292234084   11506.76976979360 
 4330    8  0  1 -1  0  0  0  0  0  0  0  0  0 -0.00000000096    -0.00000542444     0.00000542444 4.56409149777    3930.20969621960 
 4330    9  0  0  2 -2  0  0  0  0  0  0  0  0  0.00000002530     0.00000472103     0.00000472110 3.66100022149    5884.92684658320 
 4330   10  0  0  1  0 -2  0  0  0  0  0  0  0  0.00000265068     0.00000194514     0.00000328780 5.89983646482    5223.69391980220 
 4330   11  0  3 -4  0  0  0  0  0  0  0  0  0  0.00000345914     0.00000006893     0.00000345983 0.96368617687    5507.55323866740 
 4330   12  0  0  0  0  0  0  0  0  1  0 -1  0  0.00000000003    -0.00000306784     0.00000306784 0.29867139512    5573.14280143310 
 4330   13  0  0  3  0  0  0  0  0  0  0  0  0  0.00000136209    -0.00000109625     0.00000174844 3.01193636534   18849.22754997420 
 4330   14  0  3 -3  0  0  0  0  0  0  0  0  0 -0.00000001329     0.00000243185     0.00000243189 4.27349536153   11790.62908865880 
 4330   15  0  2 -3  0  0  0  0  0  0  0  0  0  0.00000211634     0.00000009079     0.00000211829 5.84714540314    1577.34354244780 
 4330   16  0  0  2  0 -3  0  0  0  0  0  0  0  0.00000031801    -0.00000183010     0.00000185752 5.02194447178   10977.07880469900 
 4330   17  0  0  3 -4  0  0  0  0  0  0  0  0  0.00000054969     0.00000095090     0.00000109835 5.05510636285    5486.77784317500 
 4330   18  0  0  1  0  0 -1  0  0  0  0  0  0 -0.00000000724     0.00000098314     0.00000098316 0.88681311277    6069.77675455340 
 4330   19  0  4 -4  0  0  0  0  0  0  0  0  0  0.00000000096     0.00000086499     0.00000086499 5.68959778254   15720.83878487840 
 4330   20  0  0  0  0  0  0  0  0  1  0  1  0  0.00000000000     0.00000085825     0.00000085825 1.27083733351  161000.68573767410 
 4330   21  0  0  0  0  1  0  0  0  0  0  0  0 -0.00000019924     0.00000059678     0.00000062916 0.92177108832     529.69096509460 
 4330   22  0  0  1  0  0  0  0  0  1  0  0  0 -0.00000055607     0.00000012774     0.00000057056 2.01374292014   83996.84731811189 
 4330   23  0  0  3  0 -3  0  0  0  0  0  0  0 -0.00000003093    -0.00000064829     0.00000064903 0.27250613787   17260.15465469040 
 4330   24  0  0  2 -3  0  0  0  0  0  0  0  0  0.00000023722     0.00000043314     0.00000049384 3.24501240359    2544.31441988340 
 4330   25  0  0  1  0  0  0  0  0 -1  0  0  0  0.00000054322    -0.00000012479     0.00000055736 5.24159798933   71430.69561812909 
 4330   26  0  0  1  0  2 -5  0  0  0  0  0  0 -0.00000038727     0.00000017544     0.00000042515 6.01110242003    6275.96230299060 
 4330   27  0  3 -5  0  0  0  0  0  0  0  0  0 -0.00000009217    -0.00000046050     0.00000046963 2.57805070386     775.52261132400 
 4330   28  0  0  1  0 -3  0  0  0  0  0  0  0  0.00000029967     0.00000024910     0.00000038968 5.36071738169    4694.00295470760 
 4330   29  0  4 -5  0  0  0  0  0  0  0  0  0 -0.00000044642    -0.00000001301     0.00000044661 5.53715807302    9437.76293488700 
 4330   30  0  0  2  0 -1  0  0  0  0  0  0  0  0.00000033641     0.00000011828     0.00000035660 1.67468058995   12036.46073488820 
 4330   31  0  0  4 -6  0  0  0  0  0  0  0  0  0.00000027288     0.00000016563     0.00000031921 0.18368229781    5088.62883976680 
 4330   32  0  0  1 -2  0  0  0  0  0  0  0  0 -0.00000016620    -0.00000027165     0.00000031846 1.77775642085     398.14900340820 
 4330   33  0  5 -7  0  0  0  0  0  0  0  0  0 -0.00000007281    -0.00000032384     0.00000033193 0.24370300098    7084.89678111520 
 4330   34  0  0  3 -3  0  0  0  0  0  0  0  0  0.00000001323    -0.00000038222     0.00000038245 2.39255343974    8827.39026987480 
 4330   35  0  0  3 -8  3  0  0  0  0  0  0  0  0.00000014010    -0.00000024777     0.00000028464 1.21344868176    6286.59896834040 
 4330   36  0  5 -5  0  0  0  0  0  0  0  0  0  0.00000000025     0.00000037490     0.00000037490 0.82952922332   19651.04848109800 
 4330   37  0  0  2  0  0 -2  0  0  0  0  0  0  0.00000000021    -0.00000036957     0.00000036957 4.90107591914   12139.55350910680 
 4330   38  0  0  1 -1  0  0  0  0  0  0  0  0 -0.00000000329     0.00000034536     0.00000034537 1.84270693282    2942.46342329160 
 4330   39  0  0  2  0 -4  0  0  0  0  0  0  0  0.00000008728    -0.00000024783     0.00000026275 4.58896850401   10447.38783960440 
 4330   40  0  0  4 -5  0  0  0  0  0  0  0  0 -0.00000011450    -0.00000021768     0.00000024596 3.78660875483    8429.24126646660 
 4330   41  0  0  2 -4  0  0  0  0  0  0  0  0 -0.00000019225    -0.00000013666     0.00000023587 0.26866117066     796.29800681640 
 4330   42  0  0  5 -8  3  0  0  0  0  0  0  0  0.00000003340    -0.00000027592     0.00000027793 1.89934330904    6279.55273164240 
 4330   43  0  0  1  0  0 -2  0  0  0  0  0  0  0.00000023007     0.00000006570     0.00000023927 4.99598548138    5856.47765911540 
 4330   44  0  0  3 -5  0  0  0  0  0  0  0  0  0.00000017192     0.00000010887     0.00000020349 4.65267995431    2146.16541647520 
 4330   45  0  2 -1  0  0  0  0  0  0  0  0  0  0.00000022725    -0.00000005086     0.00000023287 2.80783650928   14143.49524243060 
 4330   46  0  4 -6  0  0  0  0  0  0  0  0  0  0.00000005119     0.00000021502     0.00000022103 1.95004702988    3154.68708489560 
 4330   47  0  1 -2  0  0  0  0  0  0  0  0  0 -0.00000018396     0.00000006488     0.00000019506 5.38227371393    2352.86615377180 
 4330   48  0  0  1  0  1  0  0  0  0  0  0  0  0.00000014987    -0.00000009894     0.00000017958 0.19871379385    6812.76681508600 
 4330   49  0  1  0  0  0  0  0  0  0  0  0  0 -0.00000016336     0.00000005301     0.00000017174 4.43315560735   10213.28554621100 
 4330   50  0  0  3  0 -2  0  0  0  0  0  0  0 -0.00000014909     0.00000006312     0.00000016190 5.23160507859   17789.84561978500 
 4330   51  0  0  3  0 -4  0  0  0  0  0  0  0  0.00000002556    -0.00000017125     0.00000017314 6.15200787916   16730.46368959580 
 4330   52  0  0  5 -7  0  0  0  0  0  0  0  0 -0.00000011579    -0.00000007532     0.00000013814 5.18962074032    8031.09226305840 
 4330   53  0  0  0  0  0  0  0  0  3  0 -1  0  0.00000000008     0.00000018833     0.00000018833 0.67306674027  149854.40013480789 
 4330   54  0  6 -6  0  0  0  0  0  0  0  0  0 -0.00000000011     0.00000018331     0.00000018331 2.25348733734   23581.25817731760 
 4330   55  0  2 -4  0  0  0  0  0  0  0  0  0  0.00000001606    -0.00000013546     0.00000013641 3.68516118804    4705.73230754360 
 4330   56  0  5 -6  0  0  0  0  0  0  0  0  0 -0.00000013139    -0.00000000071     0.00000013139 0.65289581324   13367.97263110660 
 4330   57  0  0  4 -4  0  0  0  0  0  0  0  0  0.00000001471    -0.00000010310     0.00000010414 4.33285688538   11769.85369316640 
 4330   58  0  8-12  0  0  0  0  0  0  0  0  0  0.00000001651     0.00000009840     0.00000009978 4.20126336355    6309.37416979120 
 4330   59  0  0  5 -8  0  0  0  0  0  0  0  0  0.00000010159     0.00000000436     0.00000010169 1.59390681369    4690.47983635860 
 4330   60  0  8-14  0  0  0  0  0  0  0  0  0 -0.00000002555    -0.00000007119     0.00000007564 2.62560597390    6256.77753019160 
 4330   61  0  7 -7  0  0  0  0  0  0  0  0  0 -0.00000000003     0.00000009661     0.00000009661 3.67586791220   27511.46787353720 
 4330   62  0  0  0  1  0  0  0  0  0  0  0  0 -0.00000004040     0.00000005399     0.00000006743 0.56270332741    3340.61242669980 
 4330   63  0  0  4 -7  0  0  0  0  0  0  0  0  0.00000008726     0.00000000546     0.00000008743 6.06359123461    1748.01641306700 
 4330   64  0  0  3 -2  0  0  0  0  0  0  0  0  0.00000007667    -0.00000001358     0.00000007786 3.67371235637   12168.00269657460 
 4330   65  0  0  5 -6  0  0  0  0  0  0  0  0 -0.00000002840    -0.00000005994     0.00000006633 5.66149277792   11371.70468975820 
 4330   66  0  0  6 -9  0  0  0  0  0  0  0  0 -0.00000007693    -0.00000000538     0.00000007712 0.31242577789    7632.94325965020 
 4330   67  0  5 -8  0  0  0  0  0  0  0  0  0 -0.00000006320     0.00000001872     0.00000006592 3.13576266188     801.82093112380 
 4330   68  0  0  2  0  0 -3  0  0  0  0  0  0  0.00000007451     0.00000000375     0.00000007460 5.64757188143   11926.25441366880 
 4330   69  0  0  0  2  0  0  0  0  0  0  0  0 -0.00000000404    -0.00000006921     0.00000006933 2.92384586400    6681.22485339960 
 4330   70  0  0  4  0 -4  0  0  0  0  0  0  0 -0.00000000345    -0.00000006793     0.00000006802 1.42329806420   23013.53953958720 
 4330   71  0  0  3 -6  0  0  0  0  0  0  0  0 -0.00000006068    -0.00000000750     0.00000006115 5.13393615454    1194.44701022460 
 4330   72  1  0 -1  0  0  0  0  0  0  0  0  0 -0.00000000005     0.00000006477     0.00000006477 2.64986648492   19804.82729158280 
 4330   73  0  0  9-15  0  0  0  0  0  0  0  0 -0.00000001110     0.00000005114     0.00000005233 4.62434053374    6438.49624942560 
 4330   74  0  0  0  0  0  0  0  0  3  0  0  0  0.00000000002     0.00000006147     0.00000006147 3.02863936662  233141.31440436149 
 4330   75  0  0  7-11  0  0  0  0  0  0  0  0 -0.00000004181     0.00000001936     0.00000004608 1.72194702724    7234.79425624200 
 4330   76  1  0 -3  0  0  0  0  0  0  0  0  0 -0.00000002805    -0.00000003155     0.00000004221 1.55697533729    7238.67559160000 
 4330   77  0  0  2  0  0 -5  0  0  0  0  0  0  0.00000000682    -0.00000005270     0.00000005314 2.40716580847   11499.65622279280 
 4330   78  0  0  2  0 -4  5  0  0  0  0  0  0  0.00000000791     0.00000005066     0.00000005128 5.32398965690   11513.88331679440 
 4330   79  0  0  1  0  0  0  0  0 -1  0  1  0 -0.00000004649     0.00000001068     0.00000004770 0.25554312006   11856.21865142450 
 4330   80  0  6 -7  0  0  0  0  0  0  0  0  0 -0.00000005518    -0.00000000114     0.00000005519 2.09089154502   17298.18232732620 
 4330   81  0  0  0  0  0  0  0  0  1 -2  0  0  0.00000000000     0.00000005625     0.00000005625 4.34052903053   90955.55169449610 
 4330   82  0  0  1  0  1 -5  0  0  0  0  0  0 -0.00000000908     0.00000004487     0.00000004578 4.46569641570    5746.27133789600 
