 VSOP87 VERSION D4    EARTH     VARIABLE 3 (LBR)       *T**1    292 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4331    1  0  0  1  0  0  0  0  0  0  0  0  0  0.00062015335     0.00082261363     0.00103018608 1.10748969588    6283.07584999140 
 4331    2  0  0  2  0  0  0  0  0  0  0  0  0  0.00001107633    -0.00001317500     0.00001721238 1.06442301418   12566.15169998280 
 4331    3  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000    -0.00000702215     0.00000702215 3.14159265359       0.00000000000 
 4331    4  0  0  3  0  0  0  0  0  0  0  0  0 -0.00000028785    -0.00000014755     0.00000032346 1.02169059149   18849.22754997420 
 4331    5  0  3 -4  0  0  0  0  0  0  0  0  0 -0.00000009950     0.00000029147     0.00000030799 2.84353804832    5507.55323866740 
 4331    6  0  0  1  0 -2  0  0  0  0  0  0  0 -0.00000017288     0.00000018019     0.00000024971 1.31906709482    5223.69391980220 
 4331    7  0  2 -3  0  0  0  0  0  0  0  0  0 -0.00000006032     0.00000017473     0.00000018485 1.42429748614    1577.34354244780 
 4331    8  0  0  2  0 -3  0  0  0  0  0  0  0  0.00000008810    -0.00000004893     0.00000010078 5.91378194648   10977.07880469900 
 4331    9  0  0  3 -4  0  0  0  0  0  0  0  0 -0.00000007148     0.00000004842     0.00000008634 0.27146150602    5486.77784317500 
 4331   10  0  0  1  0  2 -5  0  0  0  0  0  0 -0.00000002587    -0.00000008258     0.00000008654 1.42046854427    6275.96230299060 
 4331   11  0  0  4 -6  0  0  0  0  0  0  0  0 -0.00000002328     0.00000004503     0.00000005069 1.68613426734    5088.62883976680 
 4331   12  0  0  3 -8  3  0  0  0  0  0  0  0  0.00000004539     0.00000002062     0.00000004985 6.01401770704    6286.59896834040 
 4331   13  0  0  0  0  1  0  0  0  0  0  0  0  0.00000003644     0.00000002919     0.00000004669 5.98724494073     529.69096509460 
 4331   14  0  0  1  0 -3  0  0  0  0  0  0  0 -0.00000002347     0.00000003717     0.00000004395 0.51800238019    4694.00295470760 
 4331   15  0  0  2 -3  0  0  0  0  0  0  0  0 -0.00000003266     0.00000002080     0.00000003872 4.74969833437    2544.31441988340 
 4331   16  0  0  2 -4  0  0  0  0  0  0  0  0  0.00000001889    -0.00000003239     0.00000003750 5.07097685568     796.29800681640 
 4331   17  0  4 -5  0  0  0  0  0  0  0  0  0  0.00000001167    -0.00000003930     0.00000004100 1.08424786092    9437.76293488700 
 4331   18  0  0  1  0  0  0  0  0  1  0  0  0  0.00000002118     0.00000002810     0.00000003518 0.02290216272   83996.84731811189 
 4331   19  0  0  1  0  0  0  0  0 -1  0  0  0 -0.00000002069    -0.00000002744     0.00000003436 0.94937019624   71430.69561812909 
 4331   20  0  0  3 -5  0  0  0  0  0  0  0  0 -0.00000001537     0.00000002831     0.00000003221 6.15628775313    2146.16541647520 
 4331   21  0  3 -5  0  0  0  0  0  0  0  0  0 -0.00000000375     0.00000003394     0.00000003414 5.41218322538     775.52261132400 
 4331   22  0  0  2  0 -4  0  0  0  0  0  0  0  0.00000002702    -0.00000000946     0.00000002863 5.48432847146   10447.38783960440 
 4331   23  0  0  1 -2  0  0  0  0  0  0  0  0  0.00000002101    -0.00000001391     0.00000002520 0.24276941146     398.14900340820 
 4331   24  0  0  1  0  1  0  0  0  0  0  0  0 -0.00000001136    -0.00000001885     0.00000002201 4.95216196651    6812.76681508600 
