 VSOP87 VERSION D4    EARTH     VARIABLE 3 (LBR)       *T**3     27 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4333    1  0  0  1  0  0  0  0  0  0  0  0  0 -0.00000084235    -0.00000117526     0.00000144595 4.27319435148    6283.07584999140 
 4333    2  0  0  2  0  0  0  0  0  0  0  0  0 -0.00000002682     0.00000006171     0.00000006729 3.91697608662   12566.15169998280 
 4333    3  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000     0.00000000774     0.00000000774 0.00000000000       0.00000000000 
 4333    4  0  0  3  0  0  0  0  0  0  0  0  0  0.00000000247     0.00000000010     0.00000000247 3.73019298781   18849.22754997420 
 4333    5  0  0  3 -8  3  0  0  0  0  0  0  0 -0.00000000031    -0.00000000017     0.00000000036 2.80081409050    6286.59896834040 
 4333    6  0  0  7-15  0  0  0  0  0  0  0  0  0.00000000008     0.00000000032     0.00000000033 5.62216602775    6127.65545055720 
 4333    7  0  0  9-15  0  0  0  0  0  0  0  0  0.00000000012     0.00000000014     0.00000000019 3.71292621802    6438.49624942560 
 4333    8  0  0  8-17  0  0  0  0  0  0  0  0  0.00000000012     0.00000000011     0.00000000016 4.26011484232    6525.80445396540 
 4333    9  0  8-14  0  0  0  0  0  0  0  0  0 -0.00000000015    -0.00000000005     0.00000000016 3.50416887054    6256.77753019160 
 4333   10  0  0  4  0  0  0  0  0  0  0  0  0 -0.00000000004    -0.00000000014     0.00000000014 3.62127621114   25132.30339996560 
 4333   11  0  2 -4  0  0  0  0  0  0  0  0  0 -0.00000000006    -0.00000000009     0.00000000011 4.39200958819    4705.73230754360 
 4333   12  0  0 10-17  0  0  0  0  0  0  0  0  0.00000000009     0.00000000005     0.00000000011 5.22327127059    6040.34724601740 
 4333   13  0  0  1  0  0  0  0  0  1  0  0  0  0.00000000005    -0.00000000009     0.00000000010 4.28045254647   83996.84731811189 
 4333   14  0  3 -4  0  0  0  0  0  0  0  0  0  0.00000000007     0.00000000005     0.00000000009 1.56864096494    5507.55323866740 
 4333   15  0  8-12  0  0  0  0  0  0  0  0  0  0.00000000002    -0.00000000011     0.00000000011 1.37795688024    6309.37416979120 
 4333   16  0  0  1  0  0  0  0  0 -1  0  0  0  0.00000000010    -0.00000000002     0.00000000010 5.19937959068   71430.69561812909 
 4333   17  0  0  5 -8  3  0  0  0  0  0  0  0 -0.00000000009    -0.00000000002     0.00000000009 0.47275199930    6279.55273164240 
 4333   18  0  0  6-13  0  0  0  0  0  0  0  0 -0.00000000002     0.00000000009     0.00000000009 0.74642756529    5729.50644714900 
 4333   19  0  3 -5  0  0  0  0  0  0  0  0  0 -0.00000000004    -0.00000000006     0.00000000007 2.97374891560     775.52261132400 
 4333   20  0  3 -6  0  0  0  0  0  0  0  0  0  0.00000000005    -0.00000000004     0.00000000007 3.28615691021    7058.59846131540 
 4333   21  0  0  1  0  1  0  0  0  0  0  0  0  0.00000000001     0.00000000007     0.00000000007 2.19184402142    6812.76681508600 
 4333   22  0  0  0  0  1  0  0  0  0  0  0  0 -0.00000000003    -0.00000000004     0.00000000005 3.15419034438     529.69096509460 
 4333   23  0  0  0  0  2  0  0  0  0  0  0  0  0.00000000001    -0.00000000006     0.00000000006 4.54725567047    1059.38193018920 
 4333   24  0  0  1 -4  0  0  0  0  0  0  0  0 -0.00000000002    -0.00000000005     0.00000000005 1.51104406936    7079.37385680780 
 4333   25  0  0  0  2  0  0  0  0  0  0  0  0  0.00000000000    -0.00000000007     0.00000000007 2.98052059053    6681.22485339960 
 4333   26  0  0  2  0 -1  0  0  0  0  0  0  0  0.00000000003     0.00000000004     0.00000000005 2.30961231391   12036.46073488820 
 4333   27  0  0  1  0 -2  5  0  0  0  0  0  0  0.00000000005     0.00000000002     0.00000000005 3.71102966917    6290.18939699220
