 VSOP87 VERSION D4    JUPITER   VARIABLE 2 (LBR)       *T**2     81 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4522    1  0  0  0  0  1  0  0  0  0  0  0  0 -0.00006153419     0.00005258242     0.00008094051 1.46322843658     529.69096509460 
 4522    2  0  0  0  0  3 -5  0  0  0  0  0  0  0.00000280037    -0.00000687575     0.00000742415 0.95691639003     522.57741809380 
 4522    3  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000    -0.00000813244     0.00000813244 3.14159265359       0.00000000000 
 4522    4  0  0  0  0  1 -5  0  0  0  0  0  0 -0.00000305354     0.00000256751     0.00000398951 2.89888666447     536.80451209540 
 4522    5  0  0  0  0  2  0  0  0  0  0  0  0 -0.00000083920     0.00000331777     0.00000342226 1.44683789727    1059.38193018920 
 4522    6  0  0  0  0  4 -5  0  0  0  0  0  0 -0.00000051076    -0.00000053475     0.00000073948 0.40724675866    1052.26838318840 
 4522    7  0  0  0  0  0  5  0  0  0  0  0  0  0.00000035855     0.00000029058     0.00000046151 3.48036895772    1066.49547719000 
 4522    8  0  0  0  0  5-10  0  0  0  0  0  0 -0.00000012754     0.00000026394     0.00000029314 0.99088831805     515.46387109300 
 4522    9  0  0  0  0  3  0  0  0  0  0  0  0 -0.00000003746     0.00000029480     0.00000029717 1.92504171329    1589.07289528380 
 4522   10  0  0  0  0  2 -5  0  0  0  0  0  0  0.00000020280     0.00000010315     0.00000022753 4.27124052435       7.11354700080 
 4522   11  0  0  0  0  3-10  0  0  0  0  0  0  0.00000010703    -0.00000008893     0.00000013916 2.92242387338     543.91805909620 
 4522   12  0  0  0  0  2 -2  0  0  0  0  0  0  0.00000005918     0.00000010517     0.00000012067 5.22168932482     632.78373931320 
 4522   13  0  0  0  0  3 -3  0  0  0  0  0  0  0.00000005861     0.00000008956     0.00000010703 4.88024222475     949.17560896980 
 4522   14  0  0  0  0  6-10  0  0  0  0  0  0  0.00000005692     0.00000002131     0.00000006078 6.21089108431    1045.15483618760 
 4522   15  0  0  0  0  5 -5  0  0  0  0  0  0 -0.00000005612    -0.00000001931     0.00000005935 0.52977760072    1581.95934828300 
 4522   16  0  0  0  0  5-11  3  0  0  0  0  0  0.00000004323    -0.00000002586     0.00000005037 1.43444929374     526.50957135690 
 4522   17  0  0  0  0  3 -2  0  0  0  0  0  0 -0.00000003481     0.00000002952     0.00000004564 0.91811732585    1162.47470440780 
 4522   18  0  0  0  0  1  5  0  0  0  0  0  0  0.00000003699     0.00000002645     0.00000004547 4.01953745202    1596.18644228460 
 4522   19  0  0  0  0  3 -4  0  0  0  0  0  0 -0.00000005059     0.00000000635     0.00000005098 6.03169795231     735.87651353180 
 4522   20  0  0  0  0  1 -3  0  0  0  0  0  0  0.00000002098    -0.00000002918     0.00000003593 4.54080164408     110.20632121940 
 4522   21  0  0  0  0  3 -6  3  0  0  0  0  0 -0.00000002809     0.00000001991     0.00000003443 1.38618954572     533.62311835770 
 4522   22  0  0  0  0  4-10  0  0  0  0  0  0 -0.00000003050    -0.00000001199     0.00000003277 4.39650286553      14.22709400160 
 4522   23  0  0  0  0  2 -3  0  0  0  0  0  0 -0.00000003279    -0.00000000925     0.00000003407 0.42275631534     419.48464387520 
 4522   24  0  0  0  0  1 -1  0  0  0  0  0  0 -0.00000002097    -0.00000002009     0.00000002904 2.06041641723     316.39186965660 
 4522   25  0  0  0  0  1 -4  0  0  0  0  0  0  0.00000002249     0.00000001182     0.00000002541 3.98323842017     323.50541665740 
 4522   26  0  0  0  0  4  0  0  0  0  0  0  0 -0.00000000257     0.00000003103     0.00000003113 2.48079280193    2118.76386037840 
