VSOP87 VERSION D4    JUPITER   VARIABLE 2 (LBR)       *T**3     42 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4523    1  0  0  0  0  1  0  0  0  0  0  0  0 -0.00000088702    -0.00000235471     0.00000251624 3.38087923084     529.69096509460 
 4523    2  0  0  0  0  3 -5  0  0  0  0  0  0  0.00000101010     0.00000067950     0.00000121738 2.73311837200     522.57741809380 
 4523    3  0  0  0  0  1 -5  0  0  0  0  0  0 -0.00000019319    -0.00000044698     0.00000048694 1.03689996685     536.80451209540 
 4523    4  0  0  0  0  4 -5  0  0  0  0  0  0  0.00000010006    -0.00000004539     0.00000010988 2.31463561347    1052.26838318840 
 4523    5  0  0  0  0  5-10  0  0  0  0  0  0 -0.00000006394    -0.00000004919     0.00000008067 2.76729757621     515.46387109300 
 4523    6  0  0  0  0  0  5  0  0  0  0  0  0  0.00000003257    -0.00000005281     0.00000006205 1.78115827370    1066.49547719000 
 4523    7  0  0  0  0  2  0  0  0  0  0  0  0 -0.00000000640    -0.00000007258     0.00000007287 4.25268318975    1059.38193018920 
 4523    8  0  0  0  0  3-10  0  0  0  0  0  0  0.00000001649     0.00000003230     0.00000003627 1.13028917221     543.91805909620 
 4523    9  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000    -0.00000002798     0.00000002798 3.14159265359       0.00000000000 
 4523   10  0  0  0  0  2 -5  0  0  0  0  0  0 -0.00000001465     0.00000001207     0.00000001898 2.28934054087       7.11354700080 
 4523   11  0  0  0  0  6-10  0  0  0  0  0  0 -0.00000000974     0.00000001323     0.00000001643 1.77507208483    1045.15483618760 
 4523   12  0  0  0  0  2 -2  0  0  0  0  0  0 -0.00000000796     0.00000000509     0.00000000945 0.45261136388     632.78373931320 
 4523   13  0  0  0  0  3 -3  0  0  0  0  0  0 -0.00000000685     0.00000000324     0.00000000758 0.30577920142     949.17560896980 
 4523   14  0  0  0  0  4-10  0  0  0  0  0  0  0.00000000390    -0.00000000618     0.00000000731 2.63748223583      14.22709400160 
 4523   15  0  0  0  0  3  0  0  0  0  0  0  0  0.00000000872     0.00000000089     0.00000000876 0.32927768725    1589.07289528380 
 4523   16  0  0  0  0  5 -5  0  0  0  0  0  0  0.00000000383    -0.00000000560     0.00000000678 2.36909615348    1581.95934828300 
 4523   17  0  0  0  0  1  5  0  0  0  0  0  0  0.00000000378    -0.00000000495     0.00000000623 2.48056213600    1596.18644228460 
 4523   18  0  0  0  0  3 -4  0  0  0  0  0  0  0.00000000060    -0.00000000734     0.00000000736 1.52532370632     735.87651353180 
 4523   19  0  0  0  0  2 -3  0  0  0  0  0  0  0.00000000461     0.00000000190     0.00000000499 3.67985494258     419.48464387520 
 4523   20  0  0  0  0  5 -8  0  0  0  0  0  0  0.00000000409    -0.00000000197     0.00000000454 0.26977404624     942.06206196900 
 4523   21  0  0  0  0  5-11  3  0  0  0  0  0  0.00000000160     0.00000000423     0.00000000453 3.18232334886     526.50957135690 
 4523   22  0  0  0  0  1 -3  0  0  0  0  0  0  0.00000000310     0.00000000267     0.00000000409 2.88147337106     110.20632121940 
 4523   23  0  0  0  0  1 -2  0  0  0  0  0  0 -0.00000000204     0.00000000281     0.00000000347 5.76244285870     103.09277421860 
 4523   24  0  0  0  0  7-15  0  0  0  0  0  0  0.00000000193     0.00000000243     0.00000000310 2.98017326384     508.35032409220 
 4523   25  0  0  0  0  3-11  3  0  0  0  0  0  0.00000000145     0.00000000287     0.00000000321 4.40642025933     532.87235883230 
 4523   26  0  0  0  0  4 -7  0  0  0  0  0  0  0.00000000234     0.00000000188     0.00000000300 1.66936571536     625.67019231240 
 4523   27  0  0  0  0  2-10  0  0  0  0  0  0  0.00000000142     0.00000000259     0.00000000295 1.75924202728    1073.60902419080 
 4523   28  0  0  0  0  3 -6  3  0  0  0  0  0 -0.00000000126    -0.00000000253     0.00000000282 3.11087801399     533.62311835770 
 4523   29  0  0  0  0  0  2  0  0  0  0  0  0  0.00000000245     0.00000000097     0.00000000263 0.55255030187     426.59819087600 
 4523   30  0  0  0  0  5 -7  0  0  0  0  0  0  0.00000000174     0.00000000115     0.00000000208 2.17540496886    1155.36115740700 
 4523   31  0  0  0  0  1 -6  3  0  0  0  0  0 -0.00000000078    -0.00000000166     0.00000000183 4.34670868038     525.75881183150 
 4523   32  0  0  0  0  0  3  0  0  0  0  0  0  0.00000000056    -0.00000000171     0.00000000180 6.07777744541     639.89728631400 
 4523   33  0  0  0  0  3 -2  0  0  0  0  0  0 -0.00000000087    -0.00000000132     0.00000000159 2.60843864402    1162.47470440780 
 4523   34  0  0  0  0  3 -7  0  0  0  0  0  0 -0.00000000046    -0.00000000108     0.00000000117 4.70141431381      95.97922721780 
 4523   35  0  0  0  0  2 -7  0  0  0  0  0  0  0.00000000058     0.00000000090     0.00000000107 5.48942805114     433.71173787680 
 4523   36  0  0  0  0  1 -1  0  0  0  0  0  0  0.00000000081    -0.00000000067     0.00000000105 3.75192101775     316.39186965660 
 4523   37  0  0  0  0  1 -4  0  0  0  0  0  0 -0.00000000130     0.00000000007     0.00000000130 1.37897716939     323.50541665740 
 4523   38  0  0  0  0  4 -4  0  0  0  0  0  0  0.00000000079    -0.00000000049     0.00000000094 3.05797832024    1265.56747862640 
 4523   39  0  0  0  0  3 -8  0  0  0  0  0  0 -0.00000000113     0.00000000015     0.00000000114 3.75170981478     117.31986822020 
 4523   40  0  0  0  0  1  3  0  0  0  0  0  0  0.00000000043    -0.00000000084     0.00000000095 0.54905691533    1169.58825140860 
 4523   41  0  0  0  0  0  1  0  0  0  0  0  0 -0.00000000060    -0.00000000065     0.00000000088 3.26874502411     213.29909543800 
 4523   42  0  0  0  0  7-10  0  0  0  0  0  0 -0.00000000026     0.00000000094     0.00000000098 2.00704668688    1574.84580128220 
