 VSOP87 VERSION D4    JUPITER   VARIABLE 1 (LBR)       *T**2    191 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4512    1  0  0  0  0  2 -5  0  0  0  0  0  0  0.00043122621     0.00019273098     0.00047233598 4.32148323554       7.11354700080 
 4512    2  0  0  0  0  1  0  0  0  0  0  0  0 -0.00022203750    -0.00021098160     0.00030629053 2.93021440216     529.69096509460 
 4512    3  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000     0.00038965550     0.00038965550 0.00000000000       0.00000000000 
 4512    4  0  0  0  0  3 -5  0  0  0  0  0  0  0.00001486598    -0.00002821661     0.00003189317 1.05504615595     522.57741809380 
 4512    5  0  0  0  0  2  0  0  0  0  0  0  0 -0.00002177502    -0.00001635594     0.00002723358 3.41411526638    1059.38193018920 
 4512    6  0  0  0  0  1 -5  0  0  0  0  0  0  0.00002400552     0.00001298610     0.00002729292 4.84545481351     536.80451209540 
 4512    7  0  0  0  0  4-10  0  0  0  0  0  0 -0.00001435976    -0.00000948710     0.00001721069 4.18734385158      14.22709400160 
 4512    8  0  0  0  0  2 -3  0  0  0  0  0  0 -0.00000302037     0.00000235925     0.00000383258 5.76790714387     419.48464387520 
 4512    9  0  0  0  0  1 -2  0  0  0  0  0  0 -0.00000292470     0.00000222523     0.00000367498 6.05509120409     103.09277421860 
 4512   10  0  0  0  0  5-10  0  0  0  0  0  0 -0.00000082291     0.00000368446     0.00000377524 0.76048964872     515.46387109300 
 4512   11  0  0  0  0  4-11  3  0  0  0  0  0  0.00000146130     0.00000304098     0.00000337386 3.78644384244       3.18139373770 
 4512   12  0  0  0  0  2 -4  0  0  0  0  0  0 -0.00000046377    -0.00000304690     0.00000308200 0.69356654052     206.18554843720 
 4512   13  0  0  0  0  3  0  0  0  0  0  0  0 -0.00000197189    -0.00000093908     0.00000218408 3.81389191353    1589.07289528380 
 4512   14  0  0  0  0  0  5  0  0  0  0  0  0 -0.00000164043     0.00000112448     0.00000198883 5.33996443444    1066.49547719000 
 4512   15  0  0  0  0  2 -6  3  0  0  0  0  0 -0.00000093016    -0.00000174163     0.00000197445 2.48356402053       3.93215326310 
 4512   16  0  0  0  0  0  3  0  0  0  0  0  0 -0.00000135846     0.00000054119     0.00000146230 3.81373196838     639.89728631400 
 4512   17  0  0  0  0  4 -5  0  0  0  0  0  0  0.00000036553    -0.00000151515     0.00000155862 1.40642426467    1052.26838318840 
 4512   18  0  0  0  0  4 -8  0  0  0  0  0  0  0.00000109486    -0.00000069290     0.00000129570 5.83738872525     412.37109687440 
 4512   19  0  0  0  0  0  2  0  0  0  0  0  0  0.00000016100     0.00000141016     0.00000141932 1.63435169016     426.59819087600 
 4512   20  0  0  0  0  4 -7  0  0  0  0  0  0  0.00000107039     0.00000048045     0.00000117327 1.41435462588     625.67019231240 
 4512   21  0  0  0  0  1 -3  0  0  0  0  0  0  0.00000087497    -0.00000041249     0.00000096733 4.03383427887     110.20632121940 
 4512   22  0  0  0  0  3 -7  0  0  0  0  0  0  0.00000068675     0.00000059435     0.00000090823 1.10630629042      95.97922721780 
