 VSOP87 VERSION D4    JUPITER   VARIABLE 1 (LBR)       *T**5     10 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4515    1  0  0  0  0  2 -5  0  0  0  0  0  0  0.00000043152    -0.00000024410     0.00000049577 5.25658966184       7.11354700080 
 4515    2  0  0  0  0  4-10  0  0  0  0  0  0 -0.00000013980     0.00000007279     0.00000015761 5.25126837478      14.22709400160 
 4515    3  0  0  0  0  1 -5  0  0  0  0  0  0  0.00000002503    -0.00000003549     0.00000004343 0.01461869263     536.80451209540 
 4515    4  0  0  0  0  3 -5  0  0  0  0  0  0  0.00000000768    -0.00000001319     0.00000001526 1.09739911439     522.57741809380 
 4515    5  0  0  0  0  3-10  0  0  0  0  0  0 -0.00000000643     0.00000000342     0.00000000728 5.85949047619     543.91805909620 
 4515    6  0  0  0  0  5-10  0  0  0  0  0  0 -0.00000000227     0.00000000656     0.00000000694 0.87382487754     515.46387109300 
 4515    7  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000    -0.00000000845     0.00000000845 3.14159265359       0.00000000000 
 4515    8  0  0  0  0  0  5  0  0  0  0  0  0 -0.00000000183    -0.00000000417     0.00000000456 0.81521692852    1066.49547719000 
 4515    9  0  0  0  0  2  0  0  0  0  0  0  0  0.00000000281    -0.00000000082     0.00000000293 5.62909357048    1059.38193018920 
 4515   10  0  0  0  0  1  0  0  0  0  0  0  0  0.00000000034     0.00000000083     0.00000000090 0.21178119710     529.69096509460 
