VSOP87 VERSION D4    JUPITER   VARIABLE 3 (LBR)       *T**0    745 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4530    1  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000     5.20887429471     5.20887429471 0.00000000000       0.00000000000 
 4530    2  0  0  0  0  1  0  0  0  0  0  0  0 -0.06238175778    -0.24425301058     0.25209327020 3.49108640015     529.69096509460 
 4530    3  0  0  0  0  2  0  0  0  0  0  0  0 -0.00292486372    -0.00535988771     0.00610599902 3.84115365602    1059.38193018920 
 4530    4  0  0  0  0  2 -2  0  0  0  0  0  0 -0.00005204089    -0.00281981448     0.00282029465 2.57419879933     632.78373931320 
 4530    5  0  0  0  0  3 -5  0  0  0  0  0  0  0.00187250627    -0.00012196150     0.00187647391 2.07590380082     522.57741809380 
 4530    6  0  0  0  0  2 -3  0  0  0  0  0  0 -0.00073435460    -0.00046262812     0.00086792941 0.71001090609     419.48464387520 
 4530    7  0  0  0  0  1 -5  0  0  0  0  0  0  0.00029008041    -0.00065966587     0.00072062869 0.21465694745     536.80451209540 
 4530    8  0  0  0  0  1 -1  0  0  0  0  0  0  0.00001883789     0.00065490140     0.00065517227 5.97995850843     316.39186965660 
 4530    9  0  0  0  0  1 -2  0  0  0  0  0  0 -0.00009040600    -0.00027696455     0.00029134620 1.67759243710     103.09277421860 
 4530   10  0  0  0  0  3 -3  0  0  0  0  0  0 -0.00004707697    -0.00029765289     0.00030135275 2.16132058449     949.17560896980 
 4530   11  0  0  0  0  3 -4  0  0  0  0  0  0  0.00020291449     0.00011760533     0.00023453209 3.54023147303     735.87651353180 
 4530   12  0  0  0  0  3  0  0  0  0  0  0  0 -0.00015133989    -0.00016356226     0.00022283710 4.19362773546    1589.07289528380 
 4530   13  0  0  0  0  2 -5  0  0  0  0  0  0 -0.00005812770    -0.00023231160     0.00023947340 0.27457854894       7.11354700080 
 4530   14  0  0  0  0  3 -2  0  0  0  0  0  0 -0.00002993571    -0.00012684131     0.00013032600 2.96043055741    1162.47470440780 
 4530   15  0  0  0  0  2 -4  0  0  0  0  0  0  0.00008474602    -0.00004726102     0.00009703346 1.90669572402     206.18554843720 
 4530   16  0  0  0  0  4 -5  0  0  0  0  0  0  0.00012745023    -0.00000318566     0.00012749004 2.71550102862    1052.26838318840 
 4530   17  0  0  0  0  0  1  0  0  0  0  0  0  0.00003550043    -0.00008445650     0.00009161431 4.41352618935     213.29909543800 
 4530   18  0  0  0  0  0  2  0  0  0  0  0  0 -0.00005270756     0.00005877320     0.00007894539 2.47907551404     426.59819087600 
