 VSOP87 VERSION D4    JUPITER   VARIABLE 3 (LBR)       *T**2    190 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4532    1  0  0  0  0  1  0  0  0  0  0  0  0 -0.00054817775     0.00057778119     0.00079644833 1.35865896596     529.69096509460 
 4532    2  0  0  0  0  3 -5  0  0  0  0  0  0 -0.00007260373    -0.00003921246     0.00008251618 5.77773935444     522.57741809380 
 4532    3  0  0  0  0  1 -5  0  0  0  0  0  0 -0.00003344156     0.00006183495     0.00007029864 3.27476965833     536.80451209540 
 4532    4  0  0  0  0  2  0  0  0  0  0  0  0 -0.00003170337     0.00004264695     0.00005314006 1.83835109712    1059.38193018920 
 4532    5  0  0  0  0  2 -5  0  0  0  0  0  0 -0.00000359051     0.00001825864     0.00001860833 2.97682139367       7.11354700080 
 4532    6  0  0  0  0  2 -3  0  0  0  0  0  0  0.00000513607     0.00000659962     0.00000836267 4.19889881718     419.48464387520 
 4532    7  0  0  0  0  5-10  0  0  0  0  0  0  0.00000939685     0.00000217227     0.00000964466 5.48031822015     515.46387109300 
 4532    8  0  0  0  0  0  5  0  0  0  0  0  0  0.00000225315     0.00000338285     0.00000406453 3.78250730354    1066.49547719000 
 4532    9  0  0  0  0  0  3  0  0  0  0  0  0  0.00000163958     0.00000393801     0.00000426570 2.22753101795     639.89728631400 
 4532   10  0  0  0  0  3  0  0  0  0  0  0  0 -0.00000162025     0.00000340757     0.00000377316 2.24248352873    1589.07289528380 
 4532   11  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000    -0.00000497920     0.00000497920 3.14159265359       0.00000000000 
 4532   12  0  0  0  0  4 -7  0  0  0  0  0  0  0.00000138886    -0.00000309290     0.00000339043 6.12690864038     625.67019231240 
 4532   13  0  0  0  0  2 -4  0  0  0  0  0  0 -0.00000356454     0.00000068327     0.00000362943 5.36761847267     206.18554843720 
 4532   14  0  0  0  0  4 -5  0  0  0  0  0  0 -0.00000334015    -0.00000073692     0.00000342048 6.09922969324    1052.26838318840 
 4532   15  0  0  0  0  4 -8  0  0  0  0  0  0 -0.00000150866    -0.00000235785     0.00000279920 4.26162555827     412.37109687440 
 4532   16  0  0  0  0  0  2  0  0  0  0  0  0  0.00000327559    -0.00000057560     0.00000332578 0.00328961161     426.59819087600 
 4532   17  0  0  0  0  3 -4  0  0  0  0  0  0 -0.00000154742    -0.00000169860     0.00000229777 0.70530766213     735.87651353180 
 4532   18  0  0  0  0  3-10  0  0  0  0  0  0  0.00000134110    -0.00000149427     0.00000200783 3.06850623368     543.91805909620 
 4532   19  0  0  0  0  1 -2  0  0  0  0  0  0  0.00000129612     0.00000152064     0.00000199807 4.42884165317     103.09277421860 
 4532   20  0  0  0  0  2 -2  0  0  0  0  0  0 -0.00000256844     0.00000015146     0.00000257290 0.96295364983     632.78373931320 
 4532   21  0  0  0  0  4-10  0  0  0  0  0  0  0.00000036708    -0.00000133657     0.00000138606 2.93235671606      14.22709400160 
 4532   22  0  0  0  0  5 -9  0  0  0  0  0  0  0.00000066671     0.00000091898     0.00000113535 0.78713911289     728.76296653100 
 4532   23  0  0  0  0  1 -4  0  0  0  0  0  0  0.00000067051    -0.00000053893     0.00000086025 5.14434751994     323.50541665740 
 4532   24  0  0  0  0  4 -6  0  0  0  0  0  0  0.00000093335    -0.00000015205     0.00000094565 1.70498041073     838.96928775040 
 4532   25  0  0  0  0  3 -6  0  0  0  0  0  0  0.00000029577    -0.00000078053     0.00000083469 0.05834873484     309.27832265580 
 4532   26  0  0  0  0  1  2  0  0  0  0  0  0  0.00000050851     0.00000055398     0.00000075198 1.60495195911     956.28915597060 
 4532   27  0  0  0  0  0  1  0  0  0  0  0  0 -0.00000041839     0.00000056682     0.00000070451 1.50988357484     213.29909543800 
 4532   28  0  0  0  0  1  1  0  0  0  0  0  0 -0.00000080168     0.00000005068     0.00000080328 2.98122361797     742.99006053260 
 4532   29  0  0  0  0  3 -2  0  0  0  0  0  0 -0.00000044191     0.00000034727     0.00000056203 0.95534810533    1162.47470440780 
 4532   30  0  0  0  0  6-10  0  0  0  0  0  0  0.00000059753     0.00000015174     0.00000061649 6.10137889854    1045.15483618760 
 4532   31  0  0  0  0  4 -9  0  0  0  0  0  0  0.00000066473    -0.00000003629     0.00000066572 5.47307178077     199.07200143640 
 4532   32  0  0  0  0  3-11  3  0  0  0  0  0 -0.00000046964     0.00000017324     0.00000050057 2.72063162317     532.87235883230 
