VSOP87 VERSION D4    JUPITER   VARIABLE 3 (LBR)       *T**3     98 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4533    1  0  0  0  0  1  0  0  0  0  0  0  0  0.00002584407     0.00002388726     0.00003519257 6.05800633846     529.69096509460 
 4533    2  0  0  0  0  1 -5  0  0  0  0  0  0 -0.00000927877    -0.00000539339     0.00001073239 1.67321345760     536.80451209540 
 4533    3  0  0  0  0  3 -5  0  0  0  0  0  0  0.00000683765    -0.00000609023     0.00000915666 1.41329676116     522.57741809380 
 4533    4  0  0  0  0  2  0  0  0  0  0  0  0  0.00000213761     0.00000266443     0.00000341593 0.52296542656    1059.38193018920 
 4533    5  0  0  0  0  2 -5  0  0  0  0  0  0 -0.00000234379    -0.00000100184     0.00000254893 1.19625473533       7.11354700080 
 4533    6  0  0  0  0  5-10  0  0  0  0  0  0 -0.00000088602     0.00000203020     0.00000221512 0.95225226237     515.46387109300 
 4533    7  0  0  0  0  0  5  0  0  0  0  0  0  0.00000059586    -0.00000034947     0.00000069078 2.26885282314    1066.49547719000 
 4533    8  0  0  0  0  0  0  0  0  0  0  0  0  0.00000000000    -0.00000089729     0.00000089729 3.14159265359       0.00000000000 
 4533    9  0  0  0  0  3-10  0  0  0  0  0  0  0.00000039651     0.00000042092     0.00000057827 1.41389745339     543.91805909620 
 4533   10  0  0  0  0  0  3  0  0  0  0  0  0  0.00000049875    -0.00000028919     0.00000057653 0.52580117593     639.89728631400 
 4533   11  0  0  0  0  4 -8  0  0  0  0  0  0  0.00000046609    -0.00000020896     0.00000051079 5.98016364677     412.37109687440 
 4533   12  0  0  0  0  4 -7  0  0  0  0  0  0  0.00000039099     0.00000025964     0.00000046935 1.57864237959     625.67019231240 
 4533   13  0  0  0  0  2 -3  0  0  0  0  0  0 -0.00000040728     0.00000013232     0.00000042824 6.11689609099     419.48464387520 
 4533   14  0  0  0  0  4-10  0  0  0  0  0  0  0.00000033795     0.00000016199     0.00000037477 1.18262762330      14.22709400160 
 4533   15  0  0  0  0  4 -5  0  0  0  0  0  0  0.00000016124    -0.00000029725     0.00000033816 1.66671706951    1052.26838318840 
 4533   16  0  0  0  0  3  0  0  0  0  0  0  0  0.00000021394     0.00000022703     0.00000031195 1.04290245896    1589.07289528380 
 4533   17  0  0  0  0  0  2  0  0  0  0  0  0 -0.00000007639    -0.00000029035     0.00000030023 4.63236245032     426.59819087600 
 4533   18  0  0  0  0  2 -4  0  0  0  0  0  0  0.00000000108    -0.00000033530     0.00000033531 0.84784977903     206.18554843720 
